1월 8일,1월 12일,2월 27일,2월 28일,3월 4일,3월 19일,3월 20일,5월 3일,5월 15일,5월 20일,7월 15일,8월 2일,8월 8일,11월 6일,11월 11일
"인기 브랜드만 모았다'…29CM, 수요입점회 오프라인 결산전","""기업 절반이상, 올해 직원채용 계획…취업시장 작년과 비슷""","[MWC] LGU+, AI로 5G 장비 자동 조절…AWS·삼성전자와 협력","속보이는 삼겹살'…SSG닷컴, 삼삼데이 기획전","日국립대 유학생 수업료 상한 폐지…""공·사립대도 인상할 듯""","고용노동부 천안지청, 반도체 인력 취업 준비·기업 채용 지원","문체부, 관광 빅데이터 분석으로 지역 방한 관광객 유치","기아, 첫 픽업트럭 '타스만' 아트 위장막 디자인대회",2천억원 부산 해수담수화시설 10년째 멈춰…활용방안 찾기 난항,"KCC, 프리미엄 창호 전시장 '더 클렌체 갤러리 부산' 개관","대통령실 행정관 ""김여사, 명품가방 받은 당일 돌려주라 지시""",도쿄지사에 간토학살 추도문 송부 요청…8년 연속 거부할 듯,"""재즈와 탱고, 성악까지""…송파구 '해피 썸머타임 콘서트' 개최","신한 MAN 글로벌 하이일드 펀드' 시리즈, 수탁고 2천억원 돌파",올해 100대기업에 여성임원 463명 역대 최다…전체 임원중 6.3%
"업스테이지-콴다-KT, 챗GPT 뛰어넘는 수학 특화 언어모델 개발","[CES 인터뷰] SKT 김용훈 부사장 ""에이닷 앱에 LLM 탑재 검토""","[MWC] 과기정통부 ""AI 규제, 기민하되 조급하지 않아야""","SK가스, 택시 래핑광고로 신형 LPG 1t트럭 홍보","송파구, 해설사와 함께하는 '한성백제왕도길 도보관광'","삼성전자, 재활용 소재 활용한 배터리 팩 2종 출시","강남구, 360억원 '강남창업펀드 3호' 투자 본격화","전자랜드, 용산 본점에 MSI 국내 첫 오프라인 쇼룸 오픈","이스라엘 전차, 라파 주거지역 진입…가자중부 공습에 사망 속출","[게시판] LGU+, 대학 축제 시즌 맞이 AI 체험 행사","가덕도신공항건설공단, 사업시행자 법적 지위 확보",농축수산물·석유류 급등에 7월 소비자물가 2.6%↑,[출근길 인터뷰] 폭염 피해 숲과 정원으로 떠나볼까요?,"박용우 만회골 기여' 알아인, '호날두 결승골' 알나스르에 대패","LGU+-KAIST, 6G 주파수 특성 연구…내주 결과 발표"
"정부·한은 ""태영 자구계획 이행 일부 진전…추가 자구안 내야""",[내일날씨] 전국 대체로 맑고 미세먼지 양호…최고기온 3∼10도,[내일날씨] 아침 기온 영하권에 쌀쌀한 출근길,"국회, 오늘 엄상필 대법관 후보자 인사청문회","생산, 석달 연속 증가…건설수주 13년여만에 최대폭 감소(종합)",신안서 80대 노인 농수로에 빠져 익사,"김철용 한키르기즈친선협회장, 키르기즈농업대 명예교수 위촉","위메프, 신선식품 전문 통합물류 'W프라임 프레시' 론칭","파월 ""물가 낮아지겠지만…금리 인하 시간 더 필요""","잇단 조선업 중대재해에…노동부, 중소 조선사 긴급 안전교육","한투운용, 한화생명 손잡고 베트남 변액보험 시장 진출",채무 관계로 다투다 직장 동료 흉기로 찌른 40대 체포돼,[부산소식] 시정 홍보 '부산이라 좋다' K-디자인 어워드 수상,"LIG넥스원, 英 밥콕과 '해외 MRO 시장 개발·협력 MOU'","민트로켓 황재호 ""유연한 개발 문화로 게임을 다시 위대하게"""
"[게시판] KT, 대학생 마케팅 서포터즈 'Y퓨처리스트' 모집",겨울철 별미' 완도 매생이 맛보셨나요?…제철 맞아 수확 '한창',"해남군 땅끝순례문학관, 주말 체험 프로그램 운영",대한민국임시정부 역사 소개 전시회 미국서 처음 열려,"日닛케이지수, '美나스닥 훈풍'에 사상 처음 장중 40,000선 돌파",[내일날씨] 낮밤 길이 같은 춘분…곳곳 눈·비에 아침 쌀쌀,"NH투자 ""LG엔솔, 1분기 깜짝 영업익 예상…목표가↑""",[문화소식] 신라의 돌방무덤은…국립경주문화재연구소·동국대 발굴조사,"""피싱 당해서…"" 책 빌리는 노인들 노후 자금 뜯은 도서관 사서",[내일날씨] 중부 구름·그밖 지역 맑음…낮 29도 초여름,"[트럼프 피격] 日경찰, 정치인 거리 연설 경계 강화 지시","올해 동결됐던 건강보험료, 내년에는 인상 전망",[알면 좋은 뉴스] 코로나19 재확산…4주간 입원 환자 5배 넘게 폭증 外,[이시각헤드라인] 11월 6일 라이브투데이2부,"윔블던 챔피언 크레이치코바 ""선수에 대한 외모 평가는 그만"""
[특징주] 'GPT 스토어' 곧 출시…국내 AI 챗봇 종목 강세,세계의 날씨(1월12일),세계의 날씨(2월27일),"한총리, 취임 10주년 이두익 백령병원장에 손편지 감사 인사",[인사] 한국예탁결제원,전 직장 근무 경력·사업 이력도 '직무능력은행'서 확인,빌보드 싱글 차트서 블랙핑크 제니 64위·BTS 정국 88위,"""초중고생 사교육 참여율 약 80%…사교육비 사실상 준조세""","잇단 주한미군 발언에…정부, 트럼프 측에 입장 전달","""가나 전역에 감염병 대응체계 구축""…코이카-美CDC 업무협약","삼성물산 ""올해 상반기도 '아.메.르' 인기 여전""","메리츠증권 ""대덕전자, MLB 시장 진입""…투자의견·목표가↑",[사건사고] 광주 아파트 정전 400여세대 불편…인천 아파트 화재,"경기도, 23∼24일 수원서 '전국 반려견 스포츠 대회'",세계의 날씨(11월11일)
"원/달러 환율, 소폭 하락해 1,310원 초반대서 횡보",현물ETF 거래 첫날 비트코인 가격 급등락…채굴업계 주가 급락,"[사이테크+] ""서남극 스웨이츠 빙하 대규모 감소 1940년대 이미 시작됐다""","최고속도 25→20km↓·주차금지 지정…세종시, PM 관리 강화","인천시, 저소득층에 전세금 반환 보증료 최대 30만원 지원",흐려지고 끊겼지만 여전히 아름다운 기억…포도뮤지엄 기획전,"현대차증권, SK하이닉스 목표가↑…""HBM 수요 확대""",[내일날씨] 어린이날 연휴 첫날 맑고 덥다…큰 일교차 주의,뉴욕증시 일제히 상승…나스닥 역대 최고,"[뉴스초점] 김호중, 결국 음주운전 시인…""크게 후회하고 반성""","SK텔레콤, 동물 진단 보조 AI 캐나다 동물병원 100곳 공급","경남경찰, 7월 음주운전 특별단속서 754건 적발…금요일 최다",[날씨] 전국 폭염특보…무더위 속 중부 비·남부 강한 소나기,"슈마커 전 마이애미 감독, MLB 텍사스 사장 자문역으로 이직",[게시판] 인천계양체육관에 '바디프랜드존' 설치
"""걸어서 지구 한 바퀴"" 강릉바우길, 주말 걷기 9천800㎞ 돌파","박태하호' 포항, 새 시즌 주장에 완델손…역대 첫 외국인 캡틴","하이퍼클로바X, 한국판 AI 능력 평가서 세계 최고 AI 능가",고수익 미끼 취업사기…동남아 골든트라이앵글서 한인 피해 급증,"코스피, 장 초반 상승세 2,660대…코스닥 1% 올라","크래프톤 딥러닝본부 ""AI로 게임 제작 과정·플레이 경험 혁신""","SK C&C ""애커튼파트너스, 통합 ESG 컨설팅팩 개발 완료""",성수동 이마트부지 개발 탄력…지구단위·특별구역계획 가결,경기 오산서 신호위반 차량 택시 추돌…2명 사망,"세종시, 외국인 관광객 유치 시동…필리핀·몽골 관계자 팸투어","애경케미칼-조비 생분해 비료, 포스코인터 인니 팜농장 수출","기재차관 ""8월부터는 2%대 초중반 물가 둔화흐름 재개될 것""",당진 아파트 10층 가정집서 6살 여아 추락사,내년 서산발 국제크루즈선 전화상담 예약 11일부터 시작,"군산시, 군경합동묘지 확장 공사 연내 마무리"
"[특징주] 태영건설, 추가 자구안 압박 속 급등…SBS는 하락","BBQ, 미국서 27번째주 테네시 진출…올해 모든 주에 매장","[뉴스초점] 의사 공백 메우는 간호사들…""불법 진료 문제 해결 필요""",[내일날씨] 충청·남부 비나 눈…밤부터 기온 '뚝',"식약처, 6월까지 유통단계 홍합·멍게 수거 검사 실시","""이케아, 800개 가격 내린다…3년간 한국서 4천300억원 투자""",강원 삼척에 대설경보…동해시에 대설주의보 유지,"[부산시의회 24시] 복지환경위원회, 의료·사회안전망 확충 앞장","에쓰오일 알 히즈아지 CEO, 프로야구 kt 홈경기 시구","강남구 ""주민센터 복지팀서 걸려온 전화 안심하고 받으세요""","셋째 낳으면 특진' 한미글로벌, '인구의 날' 대통령 표창",[내일날씨] 폭염 속 구름 많은 주말…남부 곳곳 소나기,서울 동남권에 호우경보…서울 전역에 폭염경보 유지,노동법 개정 방향 모색…고려대 노동대학원 '한국노동사회포럼',금성호 침몰사고 실종자 시신 또 발견…사망자 4명으로
"음성군 ""지역 인재 육성·청년 지원 등 강화""",북한 노동자 러시아 파견' 현안 부각…주요 쟁점은,제주 동부 앞바다에 풍랑주의보,"현대차, 24개 직무서 신입사원·인턴 채용","인천시, 올해 1조3천350억 규모 중소기업육성자금 지원",양재생 부산상공회의소 회장 취임…본격 업무 시작,"CU ""'압도적 간편식' 시리즈 250만개 팔려…대학가 인기""","현대차그룹, 美자율주행 합작법인 모셔널 유상증자 참여","한화 유통·서비스 부문, 중증 환아 돌봄 가정에 '휴식 지원'","11번가 ""농축수산물 직배송 '신선밥상' 4월 거래액 두 배로""","세븐일레븐, 디카페인 즉석커피 '세븐카페 디카페인' 판매",[부산시의회 24시] 제조업 경쟁력 근간 '뿌리산업' 강화 방안 연구,"병무청 ""BTS 슈가 음주운전은 근무시간 이후""…별도 징계 없어","미국 10월 서비스업 지표, 2년1개월 만에 최고",클라리넷과 탱고…도쿄필 수석 출신 조성호 리사이틀
[핫클릭] 연극 도중 배우 최수영 촬영한 민폐 관객 논란 外,"동해해수청, 국가어항 확충에 198억원 투입…기후변화 방재 대응","경기도, '찾아가는 단독주택 집수리 기술자문' 10개시 60곳 추진","이주호, 의대 운영 40개교 총장과 간담회…""정상 학사 운영해야""","스타벅스, 올해 커피대사에 고은하 바리스타 선정",세계의 날씨(3월19일),봄시샘 폭설 평창 용산 26.2㎝…7번국도 임원∼원덕 양방향 통제(종합),세계의 날씨(5월3일),"박정원 회장, 체코 원전수주 지원사격…""15년만의 도전 힘 보태""","""성형수술 중 환자 신체 사진 찍어 유포""…간호조무사 수사","대전시, 상반기 불법광고물 160만건 정비…과태료 부과",세계의 날씨(8월2일),"CJ올리브영, 안성에 허브 물류센터…K뷰티 해외 진출 관문","경기도, 지방시대 엑스포에 '경기아리백랜드' 운영","코스피, 장 초반 2,550대 약보합…코스닥도 내려"
"bhc치킨, 한식과 K-치킨 조합으로 동남아 공략 박차","권익위, 공무원 악성 민원 대응방안 만든다","한동훈, 기후 미래 공약 발표…스타트업 간담회도",서산시 국내 첫 염생식물 군락지 올해 일부 구간 시범 조성,"서대문구, 천연동에도 맨발 황톳길…6월 완공 계획","미 ""이스라엘, 하마스 군사조직 부사령관 공습 살해""","삼성증권 ""현대차, 추가 주주환원·자산 효율화 예상…목표가↑""",만세보령장학회 올해 256명에게 3억2천123만원 지원,비의료인 눈썹 문신 시술 첫 국민참여재판 '유죄',세계의 날씨(5월20일),"DN솔루션즈, 국제표준 정보보호 인증 획득","코스피 美 악재에 2% 내리며 출발 2,710대…코스닥도 급락",도로 달리던 탱크로리서 희질산 누출…피해 없어,"日 고령자 산재 증가에 법개정 추진…""방지 대책은 기업 의무""","해군 창설 79주년…해군총장 ""창군정신 계승해 필승 다짐"""
[그래픽] 저체중 성인여성 체중감량 시도율,"[게시판] 지앤푸드, 아동·청소년 자립 지원에 2천500만원 기부",천안·아산 등 건설안전 종사자들 '중대재해 예방 총력' 결의,[그래픽] 쿠팡 실적 추이,1월 서울 업무·상업시설 1천억원 이상 대형거래 '0건',[그래픽] 가구 소득별 행복도,원주서 자전거 타고 서울·인천·부산 간다…관광 활성화 사업,"[게시판] DL이앤씨, '임직원 심리상담 서비스' 가족까지 지원 확대","올트먼 축출 주도' 오픈AI 공동창립자 수츠케버, 회사 떠난다",헌옷으로 학용품을'…GS리테일-아름다운가게 친환경 캠페인,[그래픽] 역대 유럽축구선수권대회 우승국,[그래픽] 다문화 학생 밀집학교 수 추이,"하나증권, 하이브 목표가 내려…""3분기도 실적 부진""","카카오게임즈, 모바일게임 매출 감소에 3분기 영업익 80%↓(종합)",똘똘한 한 채·공사비 상승에 서울 신축-구축 가격차 6억원 육박(종합)
"[부산소식] 부산학생인성교육원, 몸 마음 튼튼 교실 운영","세종시, 올해 친환경 농산분야에 171억원 투입","""방치형 RPG 1월 매출,작년보다 82% 급증…경쟁형 MMO는 감소""","與, 박민식 지역 재배치 검토…태영호·전주혜에 소명 요구",[핫클릭] 인도서 스페인 여성관광객 집단 성폭행 피해…용의자 3명 체포 外,"세종시, 밥맛 좋은 삼광쌀 재배·소비 확대 추진…장려금도↑","""버스서 남성 승객이 외국인 여성 폭행 후 도주""…경찰 수사 중","""진라면 굿즈 만들어봐요""…오뚜기, 내달 3일까지 팝업스토어","""분명 내 목소리인데""…'AI 딥보이스' 범죄에 무방비","중진공, 카자흐스탄 정책금융 기관에 중소벤처기업 정책 전수","국립국악원, 24일 '북한의 민족음악가' 학술회의","농심, 사내 스타트업 통해 '전통주 하이볼' 출시","SK어스온, 호주 '탄소 저장소' 탐사권 획득…CCS 사업 가속화","세븐일레븐, 삼각김밥 '20도 정온 판매'…서울 21개 점포 도입","라네즈 립 글로이밤, 단종 4년 만에 재출시"
"경남도, 가스 충전소 215곳 전수조사…가스안전공사 참여","우크라 의회, 정부 '징집 법안' 심의 거부…""일부 조항 위헌""",[그래픽] 4대 금융그룹 추정손실 현황,"유한킴벌리, 강원 산불 피해지에 나무 심을 신혼부부 100쌍 모집",韓 관객 홀린 쓰지이…시각장애로 오른손·왼손 연주 듣고 악보외워,[2024 공시가격] 잠실 아파트 30% 올랐는데 이촌은 하락…지역별 편차,"충북교육청, 청주 동남지구 이전 희망 일반고 공모","""수·금요일 저녁엔 버스킹""…강남구 10월까지 거리공연",미성년자에 가스라이팅 성범죄 저지른 20대 여성 중형,"한국 여자배구, VNL 30연패서 탈출…태국 꺾고 3년 만에 승리","11번가, 해외직구 쇼핑 축제 '썸머 블랙프라이데이' 돌입",무신사스탠다드 오프라인 매장 한 달에 110만명 방문,"이란, 이슬람 국가들에 ""이스라엘 보복 정당성 지지해달라""(종합)",태국서 필로폰·케타민 마약 국내유입…공급책 검거 강제송환,"CU, 일본 최대 잡화점 돈키호테에 PB상품 전용 매대…수출 확대"
